"Year","Month","SKU","Category","Units","GrossSales"
"2018","11",1009966,"International","818.00","1595.10"
"2018","12",1009966,"International","834.00","1626.30"
"2019","1",1009966,"International","876.00","1708.20"
"2019","2",1009966,"International","867.00","1690.65"
"2019","3",1009966,"International","910.00","1774.50"
"2019","4",1009966,"International","910.00","1774.50"
"2019","5",1009966,"International","910.00","1774.50"
"2018","12",1023132,"Produce","194.00","3296.06"
"2019","1",1023132,"Produce","198.00","3364.02"
"2019","2",1023132,"Produce","194.00","3296.06"
"2019","3",1023132,"Produce","202.00","3431.98"
"2019","4",1023132,"Produce","206.00","3499.94"
"2019","5",1023132,"Produce","220.00","3737.80"
"2018","11",1028684,"Freezer","447.00","8381.25"
"2018","12",1028684,"Freezer","465.00","8718.75"
"2019","1",1028684,"Freezer","479.00","8981.25"
"2019","2",1028684,"Freezer","503.00","9431.25"
"2019","3",1028684,"Freezer","518.00","9712.50"
"2019","4",1028684,"Freezer","544.00","10200.00"
"2019","5",1028684,"Freezer","528.00","9900.00"
"2018","12",1041002,"Produce","523.00","8362.77"
"2019","1",1041002,"Produce","539.00","8618.61"
"2019","2",1041002,"Produce","528.00","8442.72"
"2019","3",1041002,"Produce","549.00","8778.51"
"2019","4",1041002,"Produce","554.00","8858.46"
"2019","5",1041002,"Produce","526.00","8410.74"
"2018","11",1049745,"International","502.00","7504.90"
"2018","12",1049745,"International","522.00","7803.90"
"2019","1",1049745,"International","517.00","7729.15"
"2019","2",1049745,"International","501.00","7489.95"
"2019","3",1049745,"International","526.00","7863.70"
"2019","4",1049745,"International","510.00","7624.50"
"2019","5",1049745,"International","495.00","7400.25"
"2018","11",1055295,"Freezer","739.00","9570.05"
"2018","12",1055295,"Freezer","732.00","9479.40"
"2018","12",1055295,"Freezer","732.00","9479.40"
"2019","1",1055295,"Freezer","754.00","9764.30"
"2019","1",1055295,"Freezer","754.00","9764.30"
"2019","2",1055295,"Freezer","777.00","10062.15"
"2019","2",1055295,"Freezer","777.00","10062.15"
"2019","3",1055295,"Freezer","777.00","10062.15"
"2019","3",1055295,"Freezer","777.00","10062.15"
"2019","4",1055295,"Freezer","754.00","9764.30"
"2019","4",1055295,"Freezer","754.00","9764.30"
"2019","5",1055295,"Freezer","784.00","10152.80"
"2019","5",1055295,"Freezer","784.00","10152.80"
"2018","11",1077848,"Sodas and Drinks","422.00","5464.90"
"2018","12",1077848,"Sodas and Drinks","443.00","5736.85"
"2018","12",1077848,"Sodas and Drinks","443.00","5736.85"
"2019","1",1077848,"Sodas and Drinks","434.00","5620.30"
"2019","1",1077848,"Sodas and Drinks","434.00","5620.30"
"2019","2",1077848,"Sodas and Drinks","434.00","5620.30"
"2019","2",1077848,"Sodas and Drinks","434.00","5620.30"
"2019","3",1077848,"Sodas and Drinks","438.00","5672.10"
"2019","3",1077848,"Sodas and Drinks","438.00","5672.10"
"2019","4",1077848,"Sodas and Drinks","425.00","5503.75"
"2019","4",1077848,"Sodas and Drinks","425.00","5503.75"
"2019","5",1077848,"Sodas and Drinks","404.00","5231.80"
"2019","5",1077848,"Sodas and Drinks","404.00","5231.80"
"2018","11",1095347,"Canned Goods","331.00","2317.00"
"2018","12",1095347,"Canned Goods","334.00","2338.00"
"2018","12",1095347,"Canned Goods","334.00","2338.00"
"2019","1",1095347,"Canned Goods","327.00","2289.00"
"2019","1",1095347,"Canned Goods","327.00","2289.00"
"2019","2",1095347,"Canned Goods","324.00","2268.00"
"2019","2",1095347,"Canned Goods","324.00","2268.00"
"2019","3",1095347,"Canned Goods","334.00","2338.00"
"2019","3",1095347,"Canned Goods","334.00","2338.00"
"2019","4",1095347,"Canned Goods","337.00","2359.00"
"2019","4",1095347,"Canned Goods","337.00","2359.00"
"2019","5",1095347,"Canned Goods","337.00","2359.00"
"2019","5",1095347,"Canned Goods","337.00","2359.00"
"2018","11",1114726,"Refrigerated","159.00","3178.41"
"2018","12",1114726,"Refrigerated","167.00","3338.33"
"2018","12",1114726,"Refrigerated","167.00","3338.33"
"2019","1",1114726,"Refrigerated","170.00","3398.30"
"2019","1",1114726,"Refrigerated","170.00","3398.30"
"2019","2",1114726,"Refrigerated","167.00","3338.33"
"2019","2",1114726,"Refrigerated","167.00","3338.33"
"2019","3",1114726,"Refrigerated","172.00","3438.28"
"2019","3",1114726,"Refrigerated","172.00","3438.28"
"2019","4",1114726,"Refrigerated","181.00","3618.19"
"2019","4",1114726,"Refrigerated","181.00","3618.19"
"2019","5",1114726,"Refrigerated","179.00","3578.21"
"2019","5",1114726,"Refrigerated","179.00","3578.21"
"2018","11",1135408,"Refrigerated","829.00","5761.55"
"2018","12",1135408,"Refrigerated","821.00","5705.95"
"2018","12",1135408,"Refrigerated","821.00","5705.95"
"2019","1",1135408,"Refrigerated","796.00","5532.20"
"2019","1",1135408,"Refrigerated","796.00","5532.20"
"2019","2",1135408,"Refrigerated","812.00","5643.40"
"2019","2",1135408,"Refrigerated","812.00","5643.40"
"2019","3",1135408,"Refrigerated","836.00","5810.20"
"2019","3",1135408,"Refrigerated","836.00","5810.20"
"2019","4",1135408,"Refrigerated","811.00","5636.45"
"2019","4",1135408,"Refrigerated","811.00","5636.45"
"2019","5",1135408,"Refrigerated","770.00","5351.50"
"2019","5",1135408,"Refrigerated","770.00","5351.50"
"2018","11",1144870,"Sodas and Drinks","267.00","531.33"
"2018","12",1144870,"Sodas and Drinks","259.00","515.41"
"2018","12",1144870,"Sodas and Drinks","259.00","515.41"
"2019","1",1144870,"Sodas and Drinks","256.00","509.44"
"2019","1",1144870,"Sodas and Drinks","256.00","509.44"
"2019","2",1144870,"Sodas and Drinks","266.00","529.34"
"2019","2",1144870,"Sodas and Drinks","266.00","529.34"
"2019","3",1144870,"Sodas and Drinks","269.00","535.31"
"2019","3",1144870,"Sodas and Drinks","269.00","535.31"
"2019","4",1144870,"Sodas and Drinks","282.00","561.18"
"2019","4",1144870,"Sodas and Drinks","282.00","561.18"
"2019","5",1144870,"Sodas and Drinks","279.00","555.21"
"2019","5",1144870,"Sodas and Drinks","279.00","555.21"
"2018","11",1144871,"Baby","656.00","6396.00"
"2018","12",1144871,"Baby","649.00","6327.75"
"2019","1",1144871,"Baby","630.00","6142.50"
"2019","2",1144871,"Baby","636.00","6201.00"
"2019","3",1144871,"Baby","642.00","6259.50"
"2019","4",1144871,"Baby","668.00","6513.00"
"2019","5",1144871,"Baby","701.00","6834.75"
"2018","12",1145972,"Produce","320.00","2224.00"
"2019","1",1145972,"Produce","330.00","2293.50"
"2019","2",1145972,"Produce","320.00","2224.00"
"2019","3",1145972,"Produce","310.00","2154.50"
"2019","4",1145972,"Produce","310.00","2154.50"
"2019","5",1145972,"Produce","341.00","2369.95"
"2018","11",1148283,"Freezer","824.00","7004.00"
"2018","12",1148283,"Freezer","799.00","6791.50"
"2019","1",1148283,"Freezer","823.00","6995.50"
"2019","2",1148283,"Freezer","839.00","7131.50"
"2019","3",1148283,"Freezer","839.00","7131.50"
"2019","4",1148283,"Freezer","831.00","7063.50"
"2019","5",1148283,"Freezer","789.00","6706.50"
"2018","12",1150334,"Dairy","379.00","5681.21"
"2019","1",1150334,"Dairy","371.00","5561.29"
"2019","2",1150334,"Dairy","386.00","5786.14"
"2019","3",1150334,"Dairy","390.00","5846.10"
"2019","4",1150334,"Dairy","386.00","5786.14"
"2019","5",1150334,"Dairy","405.00","6070.95"
"2018","11",1153124,"Produce","115.00","2127.50"
"2018","12",1153124,"Produce","117.00","2164.50"
"2019","1",1153124,"Produce","117.00","2164.50"
"2019","2",1153124,"Produce","123.00","2275.50"
"2019","3",1153124,"Produce","128.00","2368.00"
"2019","4",1153124,"Produce","132.00","2442.00"
"2019","5",1153124,"Produce","133.00","2525.67"
"2018","12",1161355,"Sodas and Drinks","729.00","7282.71"
"2019","1",1161355,"Sodas and Drinks","722.00","7212.78"
"2019","2",1161355,"Sodas and Drinks","729.00","7282.71"
"2019","3",1161355,"Sodas and Drinks","722.00","7212.78"
"2019","4",1161355,"Sodas and Drinks","758.00","7572.42"
"2019","5",1161355,"Sodas and Drinks","811.00","8101.89"
"2018","11",1171011,"Baby","912.00","15494.88"
"2018","12",1171011,"Baby","885.00","15036.15"
"2018","12",1171011,"Baby","885.00","15036.15"
"2019","1",1171011,"Baby","876.00","14883.24"
"2019","1",1171011,"Baby","876.00","14883.24"
"2019","2",1171011,"Baby","858.00","14577.42"
"2019","2",1171011,"Baby","858.00","14577.42"
"2019","3",1171011,"Baby","849.00","14424.51"
"2019","3",1171011,"Baby","849.00","14424.51"
"2019","4",1171011,"Baby","849.00","14424.51"
"2019","4",1171011,"Baby","849.00","14424.51"
"2019","5",1171011,"Baby","857.00","14560.43"
"2019","5",1171011,"Baby","857.00","14560.43"
"2018","11",1176571,"Sodas and Drinks","59.00","412.41"
"2018","12",1176571,"Sodas and Drinks","58.00","405.42"
"2018","12",1176571,"Sodas and Drinks","58.00","405.42"
"2019","1",1176571,"Sodas and Drinks","59.00","412.41"
"2019","1",1176571,"Sodas and Drinks","59.00","412.41"
"2019","2",1176571,"Sodas and Drinks","61.00","426.39"
"2019","2",1176571,"Sodas and Drinks","61.00","426.39"
"2019","3",1176571,"Sodas and Drinks","62.00","433.38"
"2019","3",1176571,"Sodas and Drinks","62.00","433.38"
"2019","4",1176571,"Sodas and Drinks","62.00","433.38"
"2019","4",1176571,"Sodas and Drinks","62.00","433.38"
"2019","5",1176571,"Sodas and Drinks","61.00","426.39"
"2019","5",1176571,"Sodas and Drinks","61.00","426.39"
"2018","11",1198427,"Canned Goods","60.00","119.40"
"2018","12",1198427,"Canned Goods","59.00","117.41"
"2018","12",1198427,"Canned Goods","59.00","117.41"
"2019","1",1198427,"Canned Goods","60.00","119.40"
"2019","1",1198427,"Canned Goods","60.00","119.40"
"2019","2",1198427,"Canned Goods","61.00","121.39"
"2019","2",1198427,"Canned Goods","61.00","121.39"
"2019","3",1198427,"Canned Goods","59.00","117.41"
"2019","3",1198427,"Canned Goods","59.00","117.41"
